2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020-30","Percent employment change, 2020-30","Percent self employed, 2020","Occupational openings, 2020-30 annual average",Median annual wage 2020,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Management occupations,11-0000,Summary,"9,782.30","10,689.10",906.8,9.3,13.1,904.4,109760,—,—,—
Top executives,11-1000,Summary,"2,756.60","2,970.00",213.5,7.7,3.2,251.4,106180,—,—,—
Chief executives,11-1011,Line item,292.5,275.7,-16.8,-5.7,25,17.5,185950,Bachelor's degree,5 years or more,None
General and operations managers,11-1021,Line item,"2,411.90","2,638.20",226.3,9.4,0.7,229.6,103650,Bachelor's degree,5 years or more,None
Legislators,11-1031,Line item,52.2,56.1,4,7.6,—,4.3,33200,Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",Nov-00,Summary,803.8,874.7,71,8.8,2.6,77,134120,—,—,—
Advertising and promotions managers,Nov-11,Line item,23.2,25.6,2.4,10.3,2.9,2.5,133460,Bachelor's degree,Less than 5 years,None
Marketing and sales managers,Nov-20,Summary,691.6,748.9,57.3,8.3,2.9,65.5,136350,—,—,—
Marketing managers,Nov-21,Line item,293.7,323.1,29.4,10,6,28.5,142170,Bachelor's degree,5 years or more,None
Sales managers,Nov-22,Line item,397.9,425.8,27.9,7,0.7,37,132290,Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,Nov-30,Line item,89,100.3,11.3,12.6,—,8.9,118430,Bachelor's degree,5 years or more,None
Operations specialties managers,Nov-00,Summary,"2,109.40","2,354.80",245.4,11.6,1.7,188.4,125040,—,—,—
Administrative services and facilities managers,Nov-10,Line item,322,350.5,28.6,8.9,0.2,29.2,98890,Bachelor's degree,Less than 5 years,None
Computer and information systems managers,Nov-21,Line item,482,534.6,52.7,10.9,2.2,42.4,151150,Bachelor's degree,5 years or more,None
Financial managers,Nov-31,Line item,681.7,799.9,118.2,17.3,0.8,64.2,134180,Bachelor's degree,5 years or more,None
Industrial production managers,Nov-51,Line item,189.3,199.3,10,5.3,4.4,13.9,108790,Bachelor's degree,5 years or more,None
Purchasing managers,Nov-61,Line item,74.4,79,4.6,6.1,1.7,6.3,125940,Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",Nov-71,Line item,137.6,149,11.4,8.3,3.6,11.8,96390,High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,Nov-11,Line item,18.7,19.4,0.7,4,9.7,1.5,125130,Bachelor's degree,5 years or more,None
Human resources managers,Nov-21,Line item,161.7,176.5,14.8,9.2,0.6,14.8,121220,Bachelor's degree,5 years or more,None
Training and development managers,Nov-31,Line item,42.1,46.6,4.5,10.7,3.9,4.3,115640,Bachelor's degree,5 years or more,None
Other management occupations,Nov-00,Summary,"4,112.50","4,489.50",377,9.2,27.5,387.5,95180,—,—,—
"Farmers, ranchers, and other agricultural managers",Nov-13,Line item,888.3,882.6,-5.8,-0.7,65.6,84.8,68090,High school diploma or equivalent,5 years or more,None
Construction managers,Nov-21,Line item,448,499.4,51.4,11.5,36.2,38.9,97180,Bachelor's degree,None,Moderate-term on-the-job training
Education and childcare administrators,Nov-30,Summary,560.3,608.2,47.9,8.5,3.7,46.4,93470,—,—,—
"Education and childcare administrators, preschool and daycare",Nov-31,Line item,60.8,67.7,6.9,11.4,8.5,5.3,49160,Bachelor's degree,Less than 5 years,None
"Education administrators, kindergarten through secondary",Nov-32,Line item,270.2,291.3,21.2,7.8,2,22.1,98490,Master's degree,5 years or more,None
"Education administrators, postsecondary",Nov-33,Line item,178.8,192.2,13.4,7.5,4.2,14.5,97500,Master's degree,Less than 5 years,None
"Education administrators, all other",Nov-39,Line item,50.5,56.9,6.4,12.6,5.9,4.5,87580,Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,Nov-41,Line item,197.8,205.9,8.1,4.1,—,14.7,149530,Bachelor's degree,5 years or more,None
Food service managers,Nov-51,Line item,309.8,355.9,46.2,14.9,35.3,41.4,56590,High school diploma or equivalent,Less than 5 years,None
Gambling managers,Nov-71,Line item,3.9,4.7,0.8,20.1,11,0.4,75470,High school diploma or equivalent,Less than 5 years,None
Lodging managers,Nov-81,Line item,48.1,52.2,4.2,8.7,33.7,5.8,56670,High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,Nov-11,Line item,429.8,569.4,139.6,32.5,3.5,51.8,104280,Bachelor's degree,Less than 5 years,None
Natural sciences managers,Nov-21,Line item,79,83.5,4.5,5.8,—,6,137940,Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,Nov-31,Line item,13.2,12.2,-1,-7.7,—,0.8,78060,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",Nov-41,Line item,364.1,375.5,11.4,3.1,36.6,29.1,59660,High school diploma or equivalent,Less than 5 years,None
Social and community service managers,Nov-51,Line item,174.2,200.7,26.4,15.2,5.3,18.3,69600,Bachelor's degree,Less than 5 years,None
Emergency management directors,Nov-61,Line item,10.5,11.1,0.7,6.2,—,1,76250,Bachelor's degree,5 years or more,None
Funeral home managers,Nov-71,Line item,12.5,12.9,0.4,3.2,18.9,1,74200,Associate's degree,Less than 5 years,None
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",Nov-98,Line item,573,615.3,42.2,7.4,13.7,47.1,116350,Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,Summary,"9,422.50","10,173.30",750.8,8,7.1,901.7,72250,—,—,—
Business operations specialists,13-1000,Summary,"6,368.40","6,960.40",592.1,9.3,7.6,630.4,71450,—,—,—
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,18.7,27.3,8.6,46.3,31.5,3.4,75420,Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,Line item,439,415.4,-23.6,-5.4,2.6,39.5,66690,Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,349.4,340.5,-9,-2.6,1.9,25.2,68130,—,—,—
"Claims adjusters, examiners, and investigators",13-1031,Line item,333.8,324.7,-9.1,-2.7,1.9,24,68270,High school diploma or equivalent,None,Long-term on-the-job training
