2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment distribution, percent, 2020","Employment distribution, percent, 2030","Employment change, 2020-30","Percent employment change, 2020-30","Occupational openings, 2020-30 annual average"
Computer and information systems managers,11-3021,Line item,482.0,534.6,0.3,0.3,52.7,10.9,42.4
Computer and mathematical occupations,15-0000,Summary,5225.0,5959.9,3.4,3.6,734.9,14.1,466.4
Computer systems analysts,15-1211,Line item,607.8,650.6,0.4,0.4,42.8,7.0,47.5
Computer and information research scientists,15-1221,Line item,33.0,40.2,0.0,0.0,7.2,21.9,3.2
Computer network support specialists,15-1231,Line item,189.8,204.0,0.1,0.1,14.2,7.5,15.5
Computer network architects,15-1241,Line item,165.2,174.2,0.1,0.1,9.0,5.5,11.0
Database administrators and architects,15-1245,Line item,168.0,181.2,0.1,0.1,13.2,7.8,13.9
Computer programmers,15-1251,Line item,185.7,167.3,0.1,0.1,-18.3,-9.9,9.7
"Data scientists and mathematical science occupations, all other",15-2098,Line item,63.2,83.0,0.0,0.1,19.8,31.4,7.1
Computer numerically controlled tool operators,51-9161,Line item,158.4,154.5,0.1,0.1,-3.9,-2.5,16.5
Computer numerically controlled tool programmers,51-9162,Line item,27.1,34.5,0.0,0.0,7.4,27.4,4.1
