2020 National Employment Matrix title,2020 National Employment Matrix code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
Computer and information systems managers,11-3021,0.4,4.1,13.1,7.7,45.8,25.9,2.9
Computer systems analysts,15-1211,0.4,5.2,12.7,8.0,47.5,23.4,2.8
Computer and information research scientists,15-1221,0.0,0.7,5.0,2.2,34.8,36.6,20.8
Computer network support specialists(1),15-1231,0.9,10.4,24.5,15.5,37.1,10.4,1.2
Computer network architects,15-1241,0.8,6.5,21.2,16.2,39.7,14.0,1.5
Database administrators and architects(1),15-1245,0.5,5.9,12.0,7.3,45.4,26.3,2.6
Computer programmers,15-1251,1.0,4.9,12.2,8.0,50.2,21.1,2.5
"Data scientists and mathematical science occupations, all other(1)",15-2098,0.4,2.8,6.9,3.8,37.2,35.4,13.5
Computer numerically controlled tool operators(1),51-9161,9.0,38.0,30.1,14.1,7.6,0.9,0.3
Computer numerically controlled tool programmers(1),51-9162,9.0,38.0,30.1,14.1,7.6,0.9,0.3
