2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020-30","Percent employment change, 2020-30","Percent self employed, 2020","Occupational openings, 2020-30 annual average","Median annual wage, 2020(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Computer and information systems managers,11-3021,Line item,482.0,534.6,52.7,10.9,2.2,42.4,151150,Bachelor's degree,5 years or more,None
Computer and mathematical occupations,15-0000,Summary,5225.0,5959.9,734.9,14.1,9.7,466.4,91350,—,—,—
Computer systems analysts,15-1211,Line item,607.8,650.6,42.8,7.0,2.9,47.5,93730,Bachelor's degree,None,None
Computer and information research scientists,15-1221,Line item,33.0,40.2,7.2,21.9,3.7,3.2,126830,Master's degree,None,None
Computer network support specialists,15-1231,Line item,189.8,204.0,14.2,7.5,0.9,15.5,65450,Associate's degree,None,None
Computer network architects,15-1241,Line item,165.2,174.2,9.0,5.5,2.1,11.0,116780,Bachelor's degree,5 years or more,None
Database administrators and architects,15-1245,Line item,168.0,181.2,13.2,7.8,16.9,13.9,98860,Bachelor's degree,None,None
Computer programmers,15-1251,Line item,185.7,167.3,-18.3,-9.9,2.2,9.7,89190,Bachelor's degree,None,None
"Data scientists and mathematical science occupations, all other",15-2098,Line item,63.2,83.0,19.8,31.4,2.8,7.1,98230,Bachelor's degree,None,None
Computer numerically controlled tool operators,51-9161,Line item,158.4,154.5,-3.9,-2.5,1.9,16.5,42260,High school diploma or equivalent,None,Moderate-term on-the-job training
Computer numerically controlled tool programmers,51-9162,Line item,27.1,34.5,7.4,27.4,1.9,4.1,57740,Postsecondary nondegree award,None,Moderate-term on-the-job training
